campania,campania_id
1924/1925,1
1925/1926,2
1926/1927,3
1927/1928,4
1928/1929,5
1929/1930,6
1930/1931,7
1931/1932,8
1932/1933,9
1933/1934,10
1934/1935,11
1935/1936,12
1936/1937,13
1937/1938,14
1938/1939,15
1939/1940,16
1940/1941,17
1941/1942,18
1942/1943,19
1943/1944,20
1944/1945,21
1945/1946,22
1946/1947,23
1947/1948,24
1948/1949,25
1949/1950,26
1950/1951,27
1951/1952,28
1952/1953,29
1953/1954,30
1954/1955,31
1955/1956,32
1956/1957,33
1957/1958,34
1958/1959,35
1959/1960,36
1960/1961,37
1961/1962,38
1962/1963,39
1963/1964,40
1964/1965,41
1965/1966,42
1966/1967,43
1967/1968,44
1968/1969,45
1969/1970,46
1970/1971,47
1971/1972,48
1972/1973,49
1973/1974,50
1974/1975,51
1975/1976,52
1976/1977,53
1977/1978,54
1978/1979,55
1979/1980,56
1980/1981,57
1981/1982,58
1982/1983,59
1983/1984,60
1984/1985,61
1985/1986,62
1986/1987,63
1987/1988,64
1988/1989,65
1989/1990,66
1990/1991,67
1991/1992,68
1992/1993,69
1993/1994,70
1994/1995,71
1995/1996,72
1996/1997,73
1997/1998,74
1998/1999,75
1999/2000,76
2000/2001,77
2001/2002,78
2002/2003,79
2003/2004,80
2004/2005,81
2005/2006,82
2006/2007,83
2007/2008,84
2008/2009,85
2009/2010,86
2010/2011,87
2011/2012,88
2012/2013,89
2013/2014,90
2014/2015,91
2015/2016,92
2016/2017,93
2017/2018,94
2018/2019,95
2019/2020,96
2020/2021,97
2021/2022,98
2022/2023,99
2023/2024,100
