indice_tiempo,superficie_sembrada_arroz_ha,superficie_cosechada_arroz_ha,produccion_arroz_t,rendimiento_arroz_kgxha
1924,5172,5172,13650,2764.94
1925,3556,3556,6529,1716.07
1926,2861,2861,6659,2191.75
1927,4336,4336,7171,1719.47
1928,3445,3012,6250,1701.21
1929,3685,3439,6018,1889.7
1930,3532,3999,5972,1883.95
1931,6115,5555,10038,1685.95
1932,12887,11382,23270,1931.42
1933,18110,14270,32910,2245.77
1934,14640,13800,33743,1989.41
1935,14749,12799,33518,2765.4
1936,15559,13339,36226,1934.85
1937,21797,16483,48225,3287.81
1938,33086,30447,101931,3128.19
1939,32799,30794,96548,2728.64
1940,30170,21273,50970,2438.61
1941,33600,32506,105100,2856.41
1942,41330,34182,99030,2053.12
1943,54155,50199,161471,3016.36
1944,52100,39400,138950,3326.93
1945,43808,36663,117308,2725.89
1946,27694,24118,75379,3094.64
1947,51167,40344,116200,2695.83
1948,50000,41285,121400,3024.27
1949,47505,41955,130470,2877.59
1950,52844,47041,140853,2755.48
1951,62000,56390,173901,3012.05
1952,66045,57730,188016,3277.73
1953,68385,60217,202709,3180.6
1954,125920,107520,329094,3066.52
1955,60380,54150,163600,2987.74
1956,61380,56445,190334,3099.45
1957,65900,61320,219996,3291.72
1958,67200,51700,161800,2898.37
1959,58960,53410,181145,3039.49
1960,52500,46000,149000,2961.13
1961,59000,53060,182300,3008.85
1962,57300,52673,178200,2878.57
1963,57710,54020,190000,3073.18
1964,78700,67880,267600,3118.12
1965,56300,46295,165300,2682.72
1966,68300,61830,216970,2961
1967,79700,70800,282900,3224.13
1968,95810,87500,345000,3318.35
1969,109300,101900,407000,3439.47
1970,81200,77200,288000,3279.82
1971,93200,83100,294000,3028.94
1972,86400,76550,260000,2892.73
1973,88700,82700,316000,3441.21
1974,96500,92500,351000,3321.15
1975,91100,87270,309000,3338.85
1976,96000,90600,320000,3360.24
1977,100000,95000,310000,3077.79
1978,115700,102400,312000,2874.78
1979,87800,82200,266000,2976.74
1980,84800,81800,286300,3260.72
1981,117300,113600,437200,3537.22
1982,108800,92100,337100,3225.9
1983,130685,128385,480400,3493.8
1984,110800,108750,400000,3388.92
1985,117000,112900,438600,3533.08
1986,98700,94680,371000,3584.82
1987,91700,91700,383400,3757.67
1988,115500,104900,490000,4038.67
1989,132180,116620,428100,3552.44
1990,98000,86265,347600,3618.1
1991,139150,132400,700700,4833.58
1992,144100,139650,608300,4266.37
1993,148200,141340,607600,4210
1994,188520,184115,926200,4828.48
1995,211400,193215,986000,4934.08
1996,226573,224408,1205140,4981.31
1997,247500,211705,1011135,4584.55
1998,290850,289200,1658200,5514.69
1999,200700,188995,903410,4989.62
2000,153732,151870,873184,5469.45
2001,126435,124010,709297,5503.17
2002,135170,132890,717632,5182.53
2003,172470,169178,1060083,5737.87
2004,164914,158938,956255,5669.89
2005,171325,169025,1193492,6545.41
2006,168300,164635,1080071,6305.22
2007,185040,182840,1255015,6232.94
2008,206378,197069,1338865,6220.61
2009,220463,215670,1243259,5364.78
2010,257847,257445,1748076,6588.42
2011,237052,235372,1567971,6858.8
2012,232700,232700,1563450,6636.13
2013,243200,243200,1581810,6906.8
2014,239090,232590,1558100,6724.07
2015,214570,207740,1404980,6711.2
2016,206500,204100,1328340,6758.87
2017,202060,198170,1367968,7070.53
2018,194835,183285,1189866,6500.61
2019,185300,185300,1222910,6591.84
2020,199993,199993,1453187,7352.03
2021,205600,186070,1222426,6580.38
2022,193780,173002,1163210,6638.09
2023,204350,190950,1264771,6561.13
