id,cultivo_id,campania_id,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
1,1,1,1,89,89,89,1000
2,1,1,2,150,150,330,2200
3,1,1,3,250,250,570,2280
4,1,1,4,1241,1241,2482,2000
5,1,1,5,31,31,62,2000
6,1,1,6,1010,1010,2828,2800
7,1,1,7,1,1,1,1000
8,1,1,8,6,6,18,3000
9,1,1,9,60,60,180,3000
10,1,1,10,1,1,1,1000
11,1,1,11,100,100,200,2000
12,1,1,12,185,185,2258,12205
13,1,1,13,752,752,1894,2519
14,1,1,14,22,22,44,2000
15,1,1,15,90,90,270,3000
16,1,1,16,1129,1129,2258,2000
17,1,1,17,55,55,165,3000
18,1,2,1,22,22,22,1000
19,1,2,18,18,18,19,1056
20,1,2,4,1222,1222,2295,1878
21,1,2,5,24,24,42,1750
22,1,2,19,6,6,9,1500
23,1,2,7,4,4,6,1500
24,1,2,20,10,10,10,1000
25,1,2,21,3,3,6,2000
26,1,2,12,170,170,340,2000
27,1,2,13,913,913,1258,1378
28,1,2,14,14,14,26,1857
29,1,2,15,65,65,162,2492
30,1,2,16,1070,1070,2297,2147
31,1,2,17,15,15,37,2467
32,1,3,1,80,80,160,2000
33,1,3,5,10,10,24,2400
34,1,3,22,350,350,630,1800
35,1,3,21,36,36,79,2194
36,1,3,12,445,445,1121,2519
37,1,3,13,520,520,1103,2121
38,1,3,14,15,15,30,2000
39,1,3,16,1405,1405,3512,2500
40,1,4,1,30,30,60,2000
41,1,4,3,30,30,30,1000
42,1,4,4,370,370,407,1100
43,1,4,5,12,12,14,1167
44,1,4,6,340,340,1110,3265
45,1,4,22,300,300,510,1700
46,1,4,9,16,16,32,2000
47,1,4,23,30,30,66,2200
48,1,4,24,73,73,131,1795
49,1,4,21,6,6,15,2500
50,1,4,11,20,20,20,1000
51,1,4,12,460,460,506,1100
52,1,4,13,1200,1200,2400,2000
53,1,4,14,43,43,49,1140
54,1,4,15,42,42,84,2000
55,1,4,16,1347,1347,1703,1264
56,1,4,17,17,17,34,2000
57,1,5,25,2,1,1,1000
58,1,5,26,6,4,4,1000
59,1,5,1,35,35,73,2086
60,1,5,4,200,200,400,2000
61,1,5,27,1,1,2,2000
62,1,5,5,6,6,12,2000
63,1,5,6,583,463,1000,2160
64,1,5,28,200,120,156,1300
65,1,5,7,4,4,8,2000
66,1,5,22,150,140,196,1400
67,1,5,23,15,7,7,1000
68,1,5,24,80,80,160,2000
69,1,5,21,28,20,16,800
70,1,5,29,55,30,36,1200
71,1,5,30,1,1,2,2000
72,1,5,11,41,41,102,2488
73,1,5,31,8,7,7,1000
74,1,5,12,320,320,672,2100
75,1,5,13,844,670,1692,2525
76,1,5,32,4,2,2,1000
77,1,5,14,40,40,72,1800
78,1,5,33,5,3,3,1000
79,1,5,16,800,800,1576,1970
80,1,5,17,17,17,51,3000
81,1,6,25,2,2,4,2000
82,1,6,26,5,5,10,2000
83,1,6,1,68,40,60,1500
84,1,6,3,5,5,15,3000
85,1,6,4,700,630,825,1310
86,1,6,5,50,50,50,1000
87,1,6,6,1100,1072,2358,2200
88,1,6,28,90,20,28,1400
89,1,6,22,80,77,154,2000
90,1,6,23,15,14,28,2000
91,1,6,24,78,45,67,1489
92,1,6,21,15,14,28,2000
93,1,6,34,15,15,45,3000
94,1,6,29,50,49,98,2000
95,1,6,11,24,24,72,3000
96,1,6,31,2,2,4,2000
97,1,6,12,100,100,100,1000
98,1,6,13,450,439,1000,2278
99,1,6,32,2,2,4,2000
100,1,6,14,100,100,100,1000
101,1,6,15,30,30,60,2000
102,1,6,33,4,4,8,2000
103,1,6,16,700,700,900,1286
104,1,7,26,10,10,17,1700
105,1,7,1,75,26,78,3000
106,1,7,4,223,223,298,1336
107,1,7,5,43,43,46,1070
108,1,7,6,850,850,1440,1694
109,1,7,28,100,100,250,2500
110,1,7,35,2,2,2,1000
111,1,7,19,25,25,50,2000
112,1,7,7,15,15,30,2000
113,1,7,22,180,180,306,1700
114,1,7,23,12,12,20,1667
115,1,7,24,85,37,123,3324
116,1,7,21,40,40,68,1700
117,1,7,29,110,110,187,1700
118,1,7,11,20,18,32,1778
119,1,7,12,180,180,180,1000
120,1,7,13,490,490,833,1700
121,1,7,32,8,8,14,1750
122,1,7,14,230,810,983,1214
123,1,7,15,5,5,17,3400
124,1,7,16,824,810,983,1214
125,1,7,17,5,5,15,3000
126,1,8,1,20,14,30,2143
127,1,8,3,28,28,54,1929
128,1,8,4,264,248,273,1101
129,1,8,5,110,91,84,923
130,1,8,36,22,10,20,2000
131,1,8,6,1800,1700,4080,2400
132,1,8,28,70,70,140,2000
133,1,8,22,600,500,800,1600
134,1,8,37,5,5,5,1000
135,1,8,38,1,1,3,3000
136,1,8,24,41,29,56,1931
137,1,8,34,6,6,6,1000
138,1,8,11,20,20,40,2000
139,1,8,12,250,190,209,1100
140,1,8,13,1400,1300,2600,2000
141,1,8,14,300,234,206,880
142,1,8,15,300,300,600,2000
143,1,8,39,2,2,4,2000
144,1,8,16,876,807,828,1026
145,1,9,40,1,0,0,0
146,1,9,1,40,37,65,1757
147,1,9,3,170,170,425,2500
148,1,9,4,220,220,343,1559
149,1,9,5,90,90,138,1533
150,1,9,36,20,20,34,1700
151,1,9,6,3300,3000,7200,2400
152,1,9,28,170,91,156,1714
153,1,9,41,4,4,6,1500
154,1,9,19,45,22,66,3000
155,1,9,42,30,22,51,2318
156,1,9,7,15,10,30,3000
157,1,9,20,32,25,46,1840
158,1,9,22,2000,1600,2560,1600
159,1,9,9,130,130,260,2000
160,1,9,37,80,80,200,2500
161,1,9,23,350,280,616,2200
162,1,9,43,86,55,116,2109
163,1,9,24,65,36,106,2944
164,1,9,44,100,70,245,3500
165,1,9,34,40,40,100,2500
166,1,9,29,1300,1100,1650,1500
167,1,9,11,180,180,450,2500
168,1,9,12,210,210,279,1329
169,1,9,13,3100,2800,6412,2290
170,1,9,45,3,2,3,1500
171,1,9,14,220,220,279,1268
172,1,9,15,40,40,80,2000
173,1,9,39,14,10,16,1600
174,1,9,46,35,21,31,1476
175,1,9,16,710,710,1136,1600
176,1,9,17,85,85,170,2000
177,1,9,47,2,2,1,500
178,1,10,1,310,310,1240,4000
179,1,10,2,40,40,89,2225
180,1,10,3,180,148,229,1547
181,1,10,4,255,235,306,1302
182,1,10,5,110,97,118,1216
183,1,10,6,4000,3600,9180,2550
184,1,10,28,90,1,0,0
185,1,10,19,30,30,79,2633
186,1,10,42,20,15,37,2467
187,1,10,7,30,30,75,2500
188,1,10,20,160,160,576,3600
189,1,10,8,10,10,30,3000
190,1,10,22,2000,800,1600,2000
191,1,10,48,65,65,252,3877
192,1,10,9,400,400,855,2138
193,1,10,37,80,73,117,1603
194,1,10,23,1000,400,800,2000
195,1,10,43,50,34,70,2059
196,1,10,24,144,144,648,4500
197,1,10,44,390,300,1200,4000
198,1,10,29,2000,1200,2640,2200
199,1,10,11,200,169,253,1497
200,1,10,12,230,220,242,1100
201,1,10,13,4000,3600,8280,2300
202,1,10,45,1,1,4,4000
203,1,10,14,335,269,315,1171
204,1,10,15,800,800,2000,2500
205,1,10,46,20,0,0,0
206,1,10,16,870,829,1065,1285
207,1,10,17,290,290,610,2103
208,1,11,49,10,5,15,3000
209,1,11,1,220,196,285,1454
210,1,11,50,20,18,23,1278
211,1,11,3,231,201,302,1502
212,1,11,4,300,288,612,2125
213,1,11,5,110,103,136,1320
214,1,11,6,3500,3400,9340,2747
215,1,11,28,42,30,60,2000
216,1,11,20,593,530,768,1449
217,1,11,22,1000,900,1400,1556
218,1,11,48,50,45,63,1400
219,1,11,9,150,150,498,3320
220,1,11,37,75,75,112,1493
221,1,11,23,300,250,350,1400
222,1,11,38,20,20,30,1500
223,1,11,24,116,110,165,1500
224,1,11,44,400,395,1665,4215
225,1,11,34,160,150,225,1500
226,1,11,51,38,30,60,2000
227,1,11,11,214,174,261,1500
228,1,11,12,250,240,444,1850
229,1,11,13,3500,3400,8500,2500
230,1,11,45,1,1,1,1000
231,1,11,14,340,297,425,1431
232,1,11,15,1000,940,3120,3319
233,1,11,16,1000,972,1803,1855
234,1,11,17,1000,880,3080,3500
235,1,12,49,12,8,32,4000
236,1,12,1,150,120,432,3600
237,1,12,50,46,46,230,5000
238,1,12,3,215,215,430,2000
239,1,12,18,640,412,1287,3124
240,1,12,4,175,140,238,1700
241,1,12,5,32,30,45,1500
242,1,12,6,2700,2350,7050,3000
243,1,12,20,1454,1112,3760,3381
244,1,12,22,1200,900,1800,2000
245,1,12,48,25,25,138,5520
246,1,12,9,200,200,600,3000
247,1,12,52,14,14,56,4000
248,1,12,37,151,135,270,2000
249,1,12,23,200,150,300,2000
250,1,12,53,50,50,200,4000
251,1,12,38,2,2,3,1500
252,1,12,24,121,121,547,4521
253,1,12,44,400,400,1771,4428
254,1,12,34,6,6,12,2000
255,1,12,29,600,500,1200,2400
256,1,12,11,243,243,485,1996
257,1,12,12,385,350,525,1500
258,1,12,13,2300,2100,4650,2214
259,1,12,54,63,60,105,1750
260,1,12,14,97,85,119,1400
261,1,12,15,900,900,2700,3000
262,1,12,55,92,92,184,2000
263,1,12,16,1356,1113,1589,1428
264,1,12,17,920,920,2760,3000
265,1,13,49,8,8,30,3750
266,1,13,26,31,6,12,2000
267,1,13,1,402,326,1148,3521
268,1,13,50,30,20,40,2000
269,1,13,3,100,40,48,1200
270,1,13,56,3,2,2,1000
271,1,13,18,2027,1936,7638,3945
272,1,13,57,3,0,0,0
273,1,13,58,11,2,4,2000
274,1,13,4,115,103,148,1437
275,1,13,5,20,16,27,1688
276,1,13,36,3,3,8,2667
277,1,13,59,10,10,6,600
278,1,13,60,1,0,0,0
279,1,13,61,1,0,0,0
280,1,13,6,2349,2070,5200,2512
281,1,13,54,109,107,110,1028
282,1,13,41,2,2,2,1000
283,1,13,20,1898,1793,5567,3105
284,1,13,62,50,50,45,900
285,1,13,22,1294,728,1312,1802
286,1,13,48,70,0,0,0
287,1,13,9,15,15,25,1667
288,1,13,52,2,0,0,0
289,1,13,37,231,231,697,3017
290,1,13,23,8,3,6,2000
291,1,13,53,425,425,1803,4242
292,1,13,63,80,6,19,3167
293,1,13,64,5,5,5,1000
294,1,13,65,3,0,0,0
295,1,13,66,1,1,1,1000
296,1,13,67,28,27,42,1556
297,1,13,68,40,15,75,5000
298,1,13,44,420,400,2280,5700
299,1,13,21,53,12,27,2250
300,1,13,69,350,300,900,3000
301,1,13,34,5,5,6,1200
302,1,13,70,10,2,6,3000
303,1,13,29,380,272,797,2930
304,1,13,11,174,168,329,1958
305,1,13,71,30,30,180,6000
306,1,13,12,418,366,649,1773
307,1,13,72,4,0,0,0
308,1,13,13,1703,1531,3185,2080
309,1,13,32,1,1,3,3000
310,1,13,14,100,92,35,380
311,1,13,15,168,159,323,2031
312,1,13,73,35,0,0,0
313,1,13,74,5,5,10,2000
314,1,13,55,61,59,93,1576
315,1,13,33,1,1,1,1000
316,1,13,16,1416,1360,1783,1311
317,1,13,17,850,626,1599,2554
318,1,14,26,10,8,228,28500
319,1,14,1,1627,900,3015,3350
320,1,14,50,60,46,230,5000
321,1,14,3,176,176,264,1500
322,1,14,56,2,0,0,0
323,1,14,18,4948,2600,8710,3350
324,1,14,58,5,4,20,5000
325,1,14,4,30,30,54,1800
326,1,14,5,0,0,0,0
327,1,14,36,42,36,180,5000
328,1,14,6,3300,3262,8155,2500
329,1,14,54,0,0,0,0
330,1,14,20,3350,1675,5527,3300
331,1,14,22,900,875,2012,2299
332,1,14,48,60,60,204,3400
333,1,14,9,360,300,900,3000
334,1,14,52,140,132,660,5000
335,1,14,37,150,150,225,1500
336,1,14,23,100,95,228,2400
337,1,14,53,787,757,3785,5000
338,1,14,64,2,1,2,2000
339,1,14,66,5,5,4,800
340,1,14,67,1,0,0,0
341,1,14,68,180,70,133,1900
342,1,14,44,430,410,1558,3800
343,1,14,21,25,20,40,2000
344,1,14,69,180,170,603,3547
345,1,14,70,70,65,227,3492
346,1,14,29,700,688,1720,2500
347,1,14,30,87,82,410,5000
348,1,14,11,361,361,541,1499
349,1,14,75,70,64,320,5000
350,1,14,71,145,140,490,3500
351,1,14,12,372,324,290,895
352,1,14,13,1000,970,2425,2500
353,1,14,45,600,570,2850,5000
354,1,14,32,50,46,92,2000
355,1,14,14,9,9,13,1444
356,1,14,15,320,300,600,2000
357,1,14,55,30,30,75,2500
358,1,14,39,3,2,10,5000
359,1,14,16,750,750,825,1100
360,1,14,17,360,300,600,2000
361,1,15,49,15,15,60,4000
362,1,15,26,1,1,2,2000
363,1,15,1,4480,3830,13788,3600
364,1,15,50,125,125,475,3800
365,1,15,3,300,300,1200,4000
366,1,15,56,15,15,16,1067
367,1,15,18,4773,4178,16040,3839
368,1,15,76,110,70,250,3571
369,1,15,4,480,480,528,1100
370,1,15,36,50,50,175,3500
371,1,15,6,3700,3500,9800,2800
372,1,15,54,870,870,3045,3500
373,1,15,7,80,80,280,3500
374,1,15,20,4300,3800,14706,3870
375,1,15,22,1000,900,2160,2400
376,1,15,48,700,660,2310,3500
377,1,15,9,942,892,2676,3000
378,1,15,52,400,400,1360,3400
379,1,15,37,200,200,600,3000
380,1,15,23,218,218,610,2798
381,1,15,53,480,480,1704,3550
382,1,15,77,5,5,17,3400
383,1,15,24,600,600,2700,4500
384,1,15,65,200,200,800,4000
385,1,15,66,55,55,35,636
386,1,15,68,100,100,390,3900
387,1,15,44,400,400,1720,4300
388,1,15,21,20,15,30,2000
389,1,15,69,250,250,900,3600
390,1,15,78,50,50,190,3800
391,1,15,70,240,220,990,4500
392,1,15,29,750,700,1750,2500
393,1,15,30,880,880,3960,4500
394,1,15,11,110,110,330,3000
395,1,15,31,62,62,124,2000
396,1,15,71,630,530,2650,5000
397,1,15,12,370,370,296,800
398,1,15,72,45,45,225,5000
399,1,15,13,1200,1080,2800,2593
400,1,15,45,600,600,2700,4500
401,1,15,32,1,1,2,2000
402,1,15,14,450,450,675,1500
403,1,15,15,90,80,240,3000
404,1,15,55,60,60,60,1000
405,1,15,79,125,125,437,3496
406,1,15,39,200,200,800,4000
407,1,15,16,1080,1080,1980,1833
408,1,15,17,1274,1115,3345,3000
409,1,16,49,12,9,27,3000
410,1,16,40,70,70,336,4800
411,1,16,1,3750,3656,12469,3411
412,1,16,3,196,192,529,2755
413,1,16,56,15,0,0,0
414,1,16,18,3778,3725,12380,3323
415,1,16,80,400,400,2920,7300
416,1,16,4,4,0,0,0
417,1,16,4,520,320,320,1000
418,1,16,27,160,160,760,4750
419,1,16,6,4165,4102,10660,2599
420,1,16,54,800,800,720,900
421,1,16,20,4642,4250,14750,3471
422,1,16,8,10,5,10,2000
423,1,16,22,1000,970,2425,2500
424,1,16,48,700,680,2934,4315
425,1,16,9,1000,1000,3000,3000
426,1,16,52,400,400,1400,3500
427,1,16,37,170,165,462,2800
428,1,16,23,85,80,160,2000
429,1,16,63,15,12,36,3000
430,1,16,64,8,0,0,0
431,1,16,24,730,700,2450,3500
432,1,16,65,270,230,690,3000
433,1,16,66,35,0,0,0
434,1,16,67,2,0,0,0
435,1,16,44,400,400,1640,4100
436,1,16,21,25,23,46,2000
437,1,16,70,233,200,900,4500
438,1,16,29,640,600,1500,2500
439,1,16,30,850,825,3300,4000
440,1,16,11,344,343,994,2898
441,1,16,75,650,650,2535,3900
442,1,16,31,21,21,46,2190
443,1,16,71,500,459,2028,4418
444,1,16,81,60,54,232,4296
445,1,16,12,450,400,320,800
446,1,16,72,30,30,153,5100
447,1,16,13,1300,1250,3250,2600
448,1,16,45,1020,1000,4500,4500
449,1,16,32,3,3,6,2000
450,1,16,14,500,300,510,1700
451,1,16,15,100,100,250,2500
452,1,16,55,90,0,0,0
453,1,16,79,150,110,330,3000
454,1,16,16,1396,1000,1820,1820
455,1,16,17,1100,1100,2750,2500
456,1,17,49,10,0,0,0
457,1,17,40,70,67,399,5955
458,1,17,26,1,1,2,2000
459,1,17,1,2000,1000,2000,2000
460,1,17,50,300,300,1080,3600
461,1,17,3,267,195,529,2713
462,1,17,56,15,15,15,1000
463,1,17,18,3000,900,1440,1600
464,1,17,80,500,500,3460,6920
465,1,17,76,180,180,600,3333
466,1,17,4,520,323,288,892
467,1,17,5,4,4,4,1000
468,1,17,6,3700,3400,3840,1129
469,1,17,54,800,500,400,800
470,1,17,20,3029,929,1858,2000
471,1,17,22,800,740,1850,2500
472,1,17,48,1661,1016,2512,2472
473,1,17,9,1200,1110,2750,2477
474,1,17,52,500,400,1200,3000
475,1,17,37,165,165,462,2800
476,1,17,23,70,60,90,1500
477,1,17,53,550,550,2090,3800
478,1,17,63,5,0,0,0
479,1,17,24,730,660,2310,3500
480,1,17,65,270,220,660,3000
481,1,17,66,35,35,35,1000
482,1,17,44,420,365,1387,3800
483,1,17,21,500,450,1080,2400
484,1,17,69,300,300,1140,3800
485,1,17,82,150,140,140,1000
486,1,17,70,283,257,580,2257
487,1,17,83,150,150,555,3700
488,1,17,30,450,420,1470,3500
489,1,17,11,440,340,989,2909
490,1,17,75,40,35,105,3000
491,1,17,31,20,20,30,1500
492,1,17,71,452,433,1363,3148
493,1,17,81,60,50,100,2000
494,1,17,12,450,255,204,800
495,1,17,72,30,28,171,6107
496,1,17,13,1700,1106,2674,2418
497,1,17,45,1220,1170,4680,4000
498,1,17,32,3,3,4,1333
499,1,17,14,300,200,180,900
500,1,17,15,90,90,220,2444
501,1,17,55,90,90,90,1000
502,1,17,79,140,100,300,3000
503,1,17,16,1400,901,904,1003
504,1,17,17,1100,1100,2730,2482
505,1,18,49,65,62,180,2903
506,1,18,40,84,84,336,4000
507,1,18,26,1,1,2,2000
508,1,18,1,2000,1900,6460,3400
509,1,18,50,1400,1400,5180,3700
510,1,18,3,80,80,224,2800
511,1,18,56,30,0,0,0
512,1,18,18,3000,2955,10325,3494
513,1,18,80,650,650,1645,2531
514,1,18,76,290,290,1260,4345
515,1,18,4,320,320,230,719
516,1,18,27,90,66,125,1894
517,1,18,5,50,50,85,1700
518,1,18,6,3619,3557,8900,2502
519,1,18,54,600,600,960,1600
520,1,18,20,3020,3020,11804,3909
521,1,18,22,700,700,1750,2500
522,1,18,48,2100,2040,7752,3800
523,1,18,9,1200,1200,3600,3000
524,1,18,52,300,270,810,3000
525,1,18,37,80,80,224,2800
526,1,18,23,60,50,100,2000
527,1,18,53,400,400,1480,3700
528,1,18,24,730,700,2800,4000
529,1,18,65,550,500,2250,4500
530,1,18,66,35,0,0,0
531,1,18,44,400,400,1633,4083
532,1,18,21,30,25,37,1480
533,1,18,69,300,300,1110,3700
534,1,18,84,7,6,12,2000
535,1,18,85,274,274,660,2409
536,1,18,82,150,150,108,720
537,1,18,70,665,665,2479,3728
538,1,18,29,1000,1000,3500,3500
539,1,18,83,900,900,3330,3700
540,1,18,30,580,520,2340,4500
541,1,18,11,140,140,392,2800
542,1,18,75,70,65,234,3600
543,1,18,31,18,16,61,3813
544,1,18,71,659,659,2622,3979
545,1,18,81,70,40,140,3500
546,1,18,12,450,150,150,1000
547,1,18,72,30,30,120,4000
548,1,18,13,1680,1650,4898,2968
549,1,18,45,1500,1450,6525,4500
550,1,18,32,2,1,2,2000
551,1,18,14,450,450,405,900
552,1,18,15,100,100,300,3000
553,1,18,55,200,200,200,1000
554,1,18,79,170,140,560,4000
555,1,18,16,1001,900,900,1000
556,1,18,17,1300,1300,3900,3000
557,1,19,49,250,200,700,3500
558,1,19,40,359,102,357,3500
559,1,19,25,70,70,70,1000
560,1,19,26,25,25,25,1000
561,1,19,86,3,1,1,1000
562,1,19,1,800,550,1925,3500
563,1,19,50,2000,1400,4200,3000
